pool_size,threads,total_ops,duration_ms,throughput_ops_per_sec,mean_latency_ms
1,1,200,65.5821,3049.61,0.327911
1,2,400,151.776,2635.46,0.75888
1,4,800,301.326,2654.93,1.50663
1,8,1600,549.215,2913.25,2.74608
2,1,200,74.5203,2683.83,0.372602
2,2,400,92.1405,4341.2,0.460703
2,4,800,183.708,4354.75,0.918538
2,8,1600,353.225,4529.69,1.76613
4,1,200,74.7044,2677.22,0.373522
4,2,400,89.1071,4488.98,0.445535
4,4,800,108.442,7377.21,0.54221
4,8,1600,224.497,7127.04,1.12249
8,1,200,76.4912,2614.68,0.382456
8,2,400,89.1404,4487.3,0.445702
8,4,800,107.383,7450,0.536913
8,8,1600,182.433,8770.36,0.912164
