operation,k,m,shard_size,object_size,failed_nodes,total_nodes,crypto_ms,transport_ms,metadata_ms,total_ms,success,storage_overhead
PUT,2,1,512,1024,0,12,0.0518,0.6534,0.1276,0.9179,1,1.5
GET,2,1,512,1024,0,12,0.0464,0.504,0.0849,0.6919,1,0.0
REPAIR,2,1,512,1024,1,3,0.0575,0.6535,0.0806,0.8454,1,0.0
PUT,2,1,32768,65536,0,12,0.1709,0.8741,0.1127,1.2328,1,1.5
GET,2,1,32768,65536,0,12,0.1377,0.7565,0.1721,1.1811,1,0.0
REPAIR,2,1,32768,65536,1,3,0.1968,0.8897,0.2943,1.577,1,0.0
PUT,2,1,524288,1048576,0,12,1.6873,5.2235,0.0734,7.0332,1,1.5
GET,2,1,524288,1048576,0,12,1.5889,3.8885,0.0763,5.6045,1,0.0
REPAIR,2,1,524288,1048576,1,3,1.9056,4.7639,0.1051,6.8447,1,0.0
PUT,2,2,512,1024,0,12,0.0516,0.8042,0.1147,1.0469,1,2.0
GET,2,2,512,1024,0,12,0.0468,0.5039,0.1097,0.7336,1,0.0
REPAIR,2,2,512,1024,2,4,0.0571,0.8046,0.1468,1.1063,1,0.0
PUT,2,2,32768,65536,0,12,0.1624,1.018,0.147,1.4254,1,2.0
GET,2,2,32768,65536,0,12,0.1387,0.73,0.1043,1.0425,1,0.0
REPAIR,2,2,32768,65536,2,4,0.2052,1.0288,0.2952,1.726,1,0.0
PUT,2,2,524288,1048576,0,12,1.7445,4.669,0.1436,6.6528,1,2.0
GET,2,2,524288,1048576,0,12,1.5944,4.4823,0.0359,6.1365,1,0.0
REPAIR,2,2,524288,1048576,1,4,2.4879,4.7668,0.2701,7.7049,1,0.0
PUT,2,4,512,1024,0,12,0.0518,1.1042,0.1192,1.3546,1,3.0
GET,2,4,512,1024,0,12,0.0468,0.5038,0.156,0.8106,1,0.0
REPAIR,2,4,512,1024,3,6,0.0571,0.9542,0.0746,1.1356,1,0.0
PUT,2,4,32768,65536,0,12,0.1851,1.3647,0.179,1.8481,1,3.0
GET,2,4,32768,65536,0,12,0.172,0.7285,0.0878,1.0469,1,0.0
REPAIR,2,4,32768,65536,3,6,0.1662,1.1962,0.1003,1.5296,1,0.0
PUT,2,4,524288,1048576,0,12,1.7437,4.3943,0.1453,6.3801,1,3.0
GET,2,4,524288,1048576,0,12,1.5782,4.0962,0.0886,5.8221,1,0.0
REPAIR,2,4,524288,1048576,4,6,1.886,5.0187,0.1918,7.2244,1,0.0
PUT,4,1,256,1024,0,12,0.0523,0.9544,0.1596,1.2727,1,1.25
GET,4,1,256,1024,0,12,0.0466,0.8038,0.0838,0.9901,1,0.0
REPAIR,4,1,256,1024,1,5,0.0575,0.9534,0.1023,1.1814,1,0.0
PUT,4,1,16384,65536,0,12,0.1616,1.1733,0.1027,1.5061,1,1.25
GET,4,1,16384,65536,0,12,0.1615,1.0263,0.0307,1.2389,1,0.0
REPAIR,4,1,16384,65536,1,5,0.1944,1.211,0.1364,1.6328,1,0.0
PUT,4,1,262144,1048576,0,12,1.7504,5.5247,0.1726,7.5627,1,1.25
GET,4,1,262144,1048576,0,12,1.9566,5.1837,0.0985,7.3045,1,0.0
REPAIR,4,1,262144,1048576,1,5,2.1654,4.7806,0.1756,7.2386,1,0.0
PUT,4,2,256,1024,0,12,0.0519,1.1034,0.1777,1.4515,1,1.5
GET,4,2,256,1024,0,12,0.0467,0.8033,0.1201,1.0502,1,0.0
REPAIR,4,2,256,1024,1,6,0.0568,0.9534,0.0843,1.1507,1,0.0
PUT,4,2,16384,65536,0,12,0.1682,1.3026,0.1612,1.7394,1,1.5
GET,4,2,16384,65536,0,12,0.1626,1.0149,0.0679,1.2906,1,0.0
REPAIR,4,2,16384,65536,2,6,0.1981,1.3474,0.0877,1.6917,1,0.0
PUT,4,2,262144,1048576,0,12,2.0405,5.8645,0.1021,8.0751,1,1.5
GET,4,2,262144,1048576,0,12,1.7095,4.2306,0.1425,6.1776,1,0.0
REPAIR,4,2,262144,1048576,2,6,2.2362,5.4073,0.1839,7.95,1,0.0
PUT,4,4,256,1024,0,12,0.0517,1.4046,0.0842,1.5967,1,2.0
GET,4,4,256,1024,0,12,0.0469,0.8046,0.1437,1.091,1,0.0
REPAIR,4,4,256,1024,3,8,0.0575,1.2545,0.2271,1.6905,1,0.0
PUT,4,4,16384,65536,0,12,0.1631,1.6367,0.0551,1.8916,1,2.0
GET,4,4,16384,65536,0,12,0.1697,1.0533,0.1469,1.4678,1,0.0
REPAIR,4,4,16384,65536,3,8,0.2,1.5113,0.2492,2.1266,1,0.0
PUT,4,4,262144,1048576,0,12,2.2567,4.9122,0.0659,7.2787,1,2.0
GET,4,4,262144,1048576,0,12,1.7734,5.2853,0.06,7.1587,1,0.0
REPAIR,4,4,262144,1048576,4,8,2.128,4.6464,0.0667,6.8855,1,0.0
PUT,8,1,128,1024,0,12,0.0518,1.5535,0.1339,1.8284,1,1.125
GET,8,1,128,1024,0,12,0.0471,1.4038,0.1705,1.7351,1,0.0
REPAIR,8,1,128,1024,1,9,0.0575,1.5537,0.1129,1.7994,1,0.0
PUT,8,1,8192,65536,0,12,0.1613,1.7697,0.0607,2.0321,1,1.125
GET,8,1,8192,65536,0,12,0.1631,1.69,0.1561,2.1132,1,0.0
REPAIR,8,1,8192,65536,1,9,0.2151,1.7844,0.2143,2.3567,1,0.0
PUT,8,1,131072,1048576,0,12,2.3177,4.9418,0.0883,7.4066,1,1.125
GET,8,1,131072,1048576,0,12,1.9973,4.9189,0.1633,7.1884,1,0.0
REPAIR,8,1,131072,1048576,1,9,2.5094,5.282,0.2522,8.2118,1,0.0
PUT,8,2,128,1024,0,12,0.0523,1.7037,0.0902,1.9063,1,1.25
GET,8,2,128,1024,0,12,0.0471,1.4043,0.0555,1.5439,1,0.0
REPAIR,8,2,128,1024,1,10,0.0568,1.554,0.1717,1.8969,1,0.0
PUT,8,2,8192,65536,0,12,0.1828,1.9612,0.1194,2.343,1,1.25
GET,8,2,8192,65536,0,12,0.1563,1.6937,0.0534,1.939,1,0.0
REPAIR,8,2,8192,65536,1,10,0.1662,1.8299,0.2344,2.3867,1,0.0
PUT,8,2,131072,1048576,0,12,1.7322,6.0992,0.0509,7.9162,1,1.25
GET,8,2,131072,1048576,0,12,2.1953,4.9117,0.1611,7.3755,1,0.0
REPAIR,8,2,131072,1048576,1,10,2.0367,5.2187,0.1177,7.4516,1,0.0
PUT,8,4,128,1024,0,12,0.052,2.0035,0.0929,2.2103,1,1.5
GET,8,4,128,1024,0,12,0.0465,1.4045,0.0831,1.5895,1,0.0
